,0
1368,PLA2G4A
1369,BRINP3
1370,RGS18
1371,RGS21
1372,RGS1
1373,RGS13
1374,RGS2
1375,UCHL5
1376,RO60
1377,GLRX2
1378,CDC73
1379,B3GALT2
1380,KCNT2
1381,CFH
1382,CFHR3
1383,CFHR4
1384,CFHR2
1385,CFHR5
1386,F13B
1387,ASPM
1388,ZBTB41
1389,CRB1
1390,DENND1B
1391,C1orf53
1392,NEK7
1393,PTPRC
1394,NR5A2
1395,ZNF281
1396,KIF14
1397,DDX59
1398,CAMSAP2
1399,GPR25
1400,INAVA
1401,KIF21B
1402,CACNA1S
1403,ASCL5
1404,TMEM9
1405,IGFN1
1406,PKP1
1407,TNNT2
1408,LAD1
1409,TNNI1
1410,PHLDA3
1411,CSRP1
1412,NAV1
1413,IPO9
1414,SHISA4
1415,LMOD1
1416,TIMM17A
1417,RNPEP
1418,ELF3
1419,GPR37L1
1420,ARL8A
1421,PTPN7
1422,UBE2T
1423,PPP1R12B
1424,KDM5B
1425,RABIF
1426,KLHL12
1427,ADIPOR1
1428,CYB5R1
1429,TMEM183A
1430,PPFIA4
1431,ADORA1
1432,MYBPH
1433,CHI3L1
1434,CHIT1
1435,BTG2
1436,FMOD
1437,PRELP
1438,OPTC
1439,ATP2B4
1440,LAX1
1441,SNRPE
1442,SOX13
1443,ETNK2
1444,REN
1445,KISS1
1446,GOLT1A
1447,PLEKHA6
1448,PPP1R15B
1449,PIK3C2B
1450,MDM4
1451,LRRN2
1452,NFASC
1453,CNTN2
1454,TMEM81
1455,RBBP5
1456,DSTYK
1457,TMCC2
1458,NUAK2
1459,KLHDC8A
1460,LEMD1
1461,BLACAT1
1462,CDK18
1463,MFSD4A
1464,ELK4
1465,SLC45A3
1466,NUCKS1
1467,RAB29
1468,SLC41A1
1469,PM20D1
1470,SLC26A9
1471,RAB7B
1472,CTSE
1473,RHEX
1474,IKBKE
1475,RASSF5
1476,EIF2D
1477,DYRK3
1478,MAPKAPK2
1479,IL10
1480,IL20
1481,IL24
1482,FCMR
1483,PIGR
1484,FCAMR
1485,C1orf116
1486,PFKFB2
1487,YOD1
1488,C4BPB
1489,C4BPA
1490,CD55
1491,CR2
1492,CR1
